Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.6512812920963E-10,-0.0198107872383922,0.0689158701013288,0,0,0,3.05438711414039,0.0144005953317495,1.47565657576566E-11,6.63277369645061E-12,0.00601268356784202,1.80711238977476E-07,0.0140102401417842,0,0,0,0,0,0,package://NO1.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://NO1.SLDASM/meshes/base_link.STL,,【雕刻件】腹部主板-1;【雕刻件】躯干前板-2;【雕刻件】躯干后板-2;【标准件】躯干铝管1-1;【标准件】躯干铝管2-1;【标准件】躯干铝管1-2;【标准件】躯干铝管2-2;【标准件】躯干铝管1-3;【标准件】躯干铝管2-3;【标准件】躯干铝管1-5;【标准件】躯干铝管2-4;【雕刻件】腹部主板-2;【打印件】躯干护板1-1;【打印件】躯干护板2-1;【打印件】躯干护板1-2;【打印件】躯干护板2-2;【打印件】雷达支座-1;【雕刻件】摄像头侧板-1;【标准件】脊椎1-1;【雕刻件】摄像头侧板-2;【打印件】摄像头侧板垫块1-1;【雕刻件】摄像头固定板-1;【打印件】摄像头侧板垫块2-1;【标准件】脊椎2-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Radar_Link,-1.25197610409411E-06,-6.12661617037088E-07,-0.276836879562967,0,0,0,1451.0972825318,355.631075192834,-6.19674108219626E-05,0.000657324564613759,367.956127385676,5.07659423553907E-05,619.412654794725,0,0,0,0,0,0,package://NO1.SLDASM/meshes/Radar_Link.STL,0.0823529411764706,0.0823529411764706,0.0823529411764706,1,0,0,0,0,0,0,package://NO1.SLDASM/meshes/Radar_Link.STL,,【标准件】雷达固定板-1;【标准件】mid360激光雷达-1;【标准件】雷达保护壳-1,Origin_Radar_Joint2,Axis_Radar_Joint,Radar_Joint,fixed,0,-0.1565,0.160960036171369,3.14159265358979,-0.52359877559829,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
Camera_Link,2.84541303310089E-17,-2.77555756156289E-17,0.0125782164210382,0,0,0,0.0507110954957238,3.15157245740484E-05,7.01922034024426E-21,-1.06057027328106E-23,5.00943510396104E-06,3.46224717190195E-20,3.12442931172483E-05,0,0,0,0,0,0,package://NO1.SLDASM/meshes/Camera_Link.STL,1,1,1,1,0,0,0,0,0,0,package://NO1.SLDASM/meshes/Camera_Link.STL,,【标准件】摄像头-1,Origin_Camera_Joint2,Axis_Camera_Joint,Camera_Joint,fixed,0,-0.281597604102804,0.066443687633745,1.83259571459405,0,0,base_link,0,0,0,,,,,,,,,,,,
LF_Link_1,0.0231738378889449,-0.00179970985117432,-0.000597626681871299,0,0,0,0.19212090538837,0.000144144161459028,-1.52451797497072E-07,-1.52376945652146E-07,0.000158239294211417,1.02268012359833E-05,7.07239660214295E-05,0,0,0,0,0,0,package://NO1.SLDASM/meshes/LF_Link_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://NO1.SLDASM/meshes/LF_Link_1.STL,,灵足时代-02关节电机RS-10;胯骨-代替-1;灵足时代-02关节电机RS-14,LF1,LF_1,LF_Joint_1,revolute,0.0799999509777837,-0.184,0.0649994572689365,0,0,-1.5707963267949,base_link,1,0,0,0,0,-1,1,,,,,,,,
LF_Link_2,0.0191717398044244,0.0724876835008272,-0.0402375630867478,0,0,0,0.437625181771778,0.00116805908883004,-5.25486808215578E-05,0.000453165192376516,0.00142229082224018,0.000127870545836249,0.000334837439715074,0,0,0,0,0,0,package://NO1.SLDASM/meshes/LF_Link_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://NO1.SLDASM/meshes/LF_Link_2.STL,,关节连接骨-代替-1;灵足时代-02关节电机RS-13;左腿 V0.0-1/【打印件】大腿2-3;左腿 V0.0-1/【雕刻件】肱骨1-2;左腿 V0.0-1/【雕刻件】肱骨1-1;左腿 V0.0-1/【打印件】大腿1-2;左腿 V0.0-1/【标准件】卡簧销 8-55-1;左腿 V0.0-1/【标准件】开口挡圈-2;左腿 V0.0-1/【标准件】垫圈 8-18-2-2;左腿 V0.0-1/【标准件】滚针轴承-8-21-4-10;左腿 V0.0-1/【打印件】垫片 8-22-1.8-1;左腿 V0.0-1/【标准件】滚针轴承-8-21-4-9;左腿 V0.0-1/【打印件】垫片 8-22-1.8-2;左腿 V0.0-1/【标准件】法兰轴承-8-16-18-5-1;左腿 V0.0-1/【标准件】法兰轴承-8-16-18-5-3;左腿 V0.0-1/【标准件】垫圈 8-18-2-1,LF2,LF_2,LF_Joint_2,revolute,0.0649994572689361,0.0181287721548914,0.00210099448752589,0,0,0,LF_Link_1,0,0.993354383036593,0.115095915227214,0,0,-1.6,3.5,,,,,,,,
LF_Link_3,0.0770951128740378,-0.0152584838243246,0.131938833170223,0,0,0,0.277311011412284,0.000551596949782779,3.15795415724242E-05,-0.000272417557222438,0.000739335954931627,6.22337174646605E-05,0.000209534664616872,0,0,0,0,0,0,package://NO1.SLDASM/meshes/LF_Link_3.STL,1,1,1,1,0,0,0,0,0,0,package://NO1.SLDASM/meshes/LF_Link_3.STL,,左腿 V0.0-1/【雕刻件】尺骨-3;左腿 V0.0-1/【打印件】小腿-1;左腿 V0.0-1/【雕刻件】尺骨-4;左腿 V0.0-1/【打印件】脚掌2-1;左腿 V0.0-1/【雕刻件】掌骨-1;左腿 V0.0-1/【打印件】脚掌1-1,LF6,LF_6,LF_Joint_3,revolute,0.10845,0.1048,-0.19204,0,0,0,LF_Link_2,0,-0.99335,-0.1151,0,0,-1.5,0.5,,,,,,,,
RF_Link_1,0.023173837143971,0.00161991878676283,-0.000142291369817096,0,0,0,0.192120906099123,0.000144144056410067,1.67007456459649E-07,-1.77442256593125E-07,0.000159315916472355,3.10202222533616E-06,6.96473556659651E-05,0,0,0,0,0,0,package://NO1.SLDASM/meshes/RF_Link_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://NO1.SLDASM/meshes/RF_Link_1.STL,,灵足时代-02关节电机RS-9;胯骨-代替-4;灵足时代-02关节电机RS-12,RF1,RF_1,RF_Joint_1,revolute,-0.08,-0.184,0.064999,0,0,-1.5708,base_link,1,0,0,0,0,-1,1,,,,,,,,
RF_Link_2,0.0120035812965653,-0.0656012907390323,-0.0528672277979817,0,0,0,0.437626324920851,0.0012802831302478,-1.09143713597753E-05,0.000317656048088068,0.00143567648688448,4.21684274560456E-05,0.00020922820315279,0,0,0,0,0,0,package://NO1.SLDASM/meshes/RF_Link_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://NO1.SLDASM/meshes/RF_Link_2.STL,,关节连接骨-代替-2;灵足时代-02关节电机RS-15;右腿 V0.0-4/【雕刻件】肱骨1-1;右腿 V0.0-4/【打印件】大腿2-2;右腿 V0.0-4/【打印件】大腿1-1;右腿 V0.0-4/【雕刻件】肱骨1-2;右腿 V0.0-4/【标准件】卡簧销 8-55-1;右腿 V0.0-4/【标准件】垫圈 8-18-2-1;右腿 V0.0-4/【标准件】垫圈 8-18-2-2;右腿 V0.0-4/【标准件】开口挡圈-1;右腿 V0.0-4/【打印件】垫片 8-22-1.8-1;右腿 V0.0-4/【标准件】滚针轴承-8-21-4-10;右腿 V0.0-4/【标准件】滚针轴承-8-21-4-9;右腿 V0.0-4/【打印件】垫片 8-22-1.8-2;右腿 V0.0-4/【标准件】法兰轴承-8-16-18-5-1;右腿 V0.0-4/【标准件】法兰轴承-8-16-18-5-3,RF2,RF_2,RF_Joint_2,revolute,0.0649994572689377,-0.0182391213521056,-0.000628078028101345,0,0,0,RF_Link_1,0,-0.99940650332173,-0.0344476576595904,0,0,-1.6,3.5,,,,,,,,
RF_Link_3,0.0996536816404018,-0.00399662101902643,0.116779725020071,0,0,0,0.277311011067187,0.000443653558066692,1.0979093471015E-05,-0.000318022242332341,0.000746029788111676,1.50291402451897E-05,0.00031078422326605,0,0,0,0,0,0,package://NO1.SLDASM/meshes/RF_Link_3.STL,0,0,1,1,0,0,0,0,0,0,package://NO1.SLDASM/meshes/RF_Link_3.STL,,右腿 V0.0-4/【打印件】脚掌2-1;右腿 V0.0-4/【打印件】小腿-1;右腿 V0.0-4/【雕刻件】尺骨-3;右腿 V0.0-4/【打印件】脚掌1-2;右腿 V0.0-4/【雕刻件】尺骨-4;右腿 V0.0-4/【雕刻件】掌骨-1,RF6,RF_6,RF_Joint_3,revolute,0.077859,-0.074496,-0.21912,0,0,0,RF_Link_2,0,-0.99941,-0.034448,0,0,-1.5,0.5,,,,,,,,
LB_Link_1,-0.023173837734984,-0.0016271783015383,-0.000310768584264862,0,0,0,0.192120918351323,0.000144144081559999,1.64395787757116E-07,1.9289801364693E-07,0.000159066804748107,5.59435974724042E-06,6.98964640755361E-05,0,0,0,0,0,0,package://NO1.SLDASM/meshes/LB_Link_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://NO1.SLDASM/meshes/LB_Link_1.STL,,灵足时代-02关节电机RS-1;胯骨-代替-5;灵足时代-02关节电机RS-2,LB1,LB_1,LB_Joint_1,revolute,0.08,0.184,0.064999,0,0,-1.5708,base_link,-1,0,0,0,0,-1,1,,,,,,,,
